family_name,median,ci_lower,ci_upper,n,mass_in_band,selection,replicate
Nyulnyulan,20.0,20.0,24.0,11,0.7162527419431712,smallest,0
Otomanguean,36.0,31.0,47.5,20,0.6763925521052009,smallest,0
Palaihnihan,23.0,23.0,23.0,1,,smallest,0
Pama-Nyungan,23.0,23.0,23.0,324,0.7715899198492527,smallest,0
Pano-Tacanan,21.0,20.0,22.0,34,0.674956772404772,smallest,0
Peba-Yagua,23.0,18.0,23.0,3,0.6656496981135739,smallest,0
Pidgin,36.0,36.0,36.0,1,,smallest,0
Pomoan,32.0,32.0,39.0,3,0.9997949103059797,smallest,0
Puri-Coroado,18.0,18.0,18.0,1,,smallest,0
Quechuan,23.0,22.0,26.0,27,0.7535312408329341,smallest,0
Sahaptian,30.0,30.0,30.0,2,,smallest,0
Saharan,32.0,25.0,35.0,5,0.9715239053635727,smallest,0
Saliban,30.0,30.0,30.0,3,,smallest,0
Salishan,40.0,37.0,44.0,11,0.9506656266655525,smallest,0
Senagi,17.0,17.0,17.0,1,,smallest,0
Sentanic,17.0,17.0,17.0,2,,smallest,0
Sepik,19.0,15.0,28.07499999999959,8,0.562514583313941,smallest,0
Shastan,21.0,21.0,21.0,1,,smallest,0
Sino-Tibetan,41.0,37.0,44.0,135,0.6873649042620993,smallest,0
Siouan,29.5,20.0,36.0,4,0.8063765196023935,smallest,0
Sko,23.0,18.0,28.0,3,0.6954060846949041,smallest,0
Songhay,36.0,24.0,40.0,7,0.6576115388119212,smallest,0
South Bird's Head,18.0,18.0,18.0,1,,smallest,0
South Bougainville,13.0,13.0,13.0,2,,smallest,0
South Omotic,36.0,35.0,73.0,3,0.46097199360397645,smallest,0
Southern Daly,24.0,23.0,28.0,4,0.9755647630851585,smallest,0
Speech Register,32.0,32.0,32.0,1,,smallest,0
Surmic,34.0,28.5,49.0,6,0.7739808625447899,smallest,0
Ta-Ne-Omotic,38.0,28.0,44.0,12,0.7784009067644595,smallest,0
Tai-Kadai,33.0,31.0,35.0,25,0.8502665165059918,smallest,0
Tamaic,30.0,30.0,30.0,1,,smallest,0
Tangkic,23.5,23.0,25.0,4,0.9999900165002436,smallest,0
Tarascan,32.0,32.0,32.0,2,,smallest,0
Teberan,23.0,23.0,23.0,1,,smallest,0
Temeinic,36.0,25.0,47.0,2,0.6351018293580986,smallest,0
Ticuna-Yuri,29.0,29.0,29.0,2,,smallest,0
Timor-Alor-Pantar,34.0,28.0,40.0,2,0.8872865257938265,smallest,0
Totonacan,28.0,22.0,36.0,4,0.8242321918905566,smallest,0
Tsimshian,41.5,41.0,42.0,2,1.0,smallest,0
Tucanoan,22.0,18.0,23.0,23,0.6082352798304598,smallest,0
Tungusic,25.0,25.0,27.0,7,0.9289714398419295,smallest,0
Tupian,26.0,24.0,26.0,61,0.8894947500622872,smallest,0
Turkic,33.5,33.0,37.0,32,0.9588682369865906,smallest,0
Tuu,161.0,161.0,161.0,1,,smallest,0
Unclassifiable,21.0,21.0,21.0,1,,smallest,0
Uralic,33.0,31.0,35.0,46,0.7597896840596159,smallest,0
Uru-Chipaya,42.0,33.0,51.0,2,0.6442540312741625,smallest,0
Uto-Aztecan,26.0,24.0,29.5,18,0.8744418555330007,smallest,0
Wakashan,45.0,42.0,48.0,4,0.8813449524648757,smallest,0
Western Daly,27.5,22.0,32.0,6,0.8724620756118334,smallest,0
Wintuan,35.0,35.0,35.0,1,,smallest,0
Worrorran,25.0,22.0,28.0,9,0.9829776086190596,smallest,0
Yangmanic,22.0,22.0,22.0,2,,smallest,0
Yanomamic,20.0,19.0,24.0,11,0.5928149391766858,smallest,0
Yareban,18.0,18.0,18.0,1,,smallest,0
Yawa-Saweru,19.0,19.0,19.0,1,,smallest,0
Yeniseian,25.0,25.0,25.0,2,,smallest,0
Yukaghir,26.0,26.0,33.0,5,0.9906603244849268,smallest,0
Yuki-Wappo,32.5,30.0,35.0,2,0.9997062166293805,smallest,0
Zamucoan,33.5,30.0,37.0,2,0.9941789999280679,smallest,0
Zaparoan,19.0,18.0,25.0,5,0.4985095350682875,smallest,0
(Unknown),30.0,28.0,33.0,103,0.8075491683393698,random,1
Abkhaz-Adyge,57.5,56.0,70.0,4,0.06521781961050255,random,1
Afro-Asiatic,40.0,39.0,42.0,139,0.7500273018923156,random,1
Ainu,17.0,17.0,17.0,2,,random,1
Algic,28.0,25.0,39.0,8,0.8837308720819899,random,1
Angan,21.0,21.0,21.0,1,,random,1
Araucanian,28.0,28.0,28.0,3,,random,1
Arawakan,25.0,24.0,27.0,58,0.8447180261774843,random,1
Arawan,21.5,19.0,25.5,6,0.672085727041967,random,1
Athabaskan-Eyak-Tlingit,49.5,42.0,54.0,14,0.5379159303837016,random,1
Atlantic-Congo,38.0,37.0,38.0,479,0.8180076842247775,random,1
Austroasiatic,40.0,38.0,41.5,52,0.7880087647186463,random,1
Austronesian,25.0,23.0,25.0,131,0.7856180253198258,random,1
Aymaran,42.0,32.0,42.0,4,0.985788686510288,random,1
Baining,22.0,22.0,22.0,1,,random,1
Barbacoan,26.0,24.0,28.0,9,0.9999782665349193,random,1
Blue Nile Mao,36.0,36.0,36.0,1,,random,1
Bookkeeping,32.5,20.0,41.0,4,0.7962653836565384,random,1
Boran,29.5,28.0,41.0,4,0.968790779674869,random,1
Border,22.0,19.0,23.0,3,0.7064642930403426,random,1
Bororoan,22.0,20.0,22.0,3,0.821346839775168,random,1
Bunaban,23.5,23.0,24.0,2,0.9999996696540798,random,1
Caddoan,29.0,23.0,29.0,3,0.9525559050088425,random,1
