family_name,N,median_inventory,iqr_inventory,selection,replicate
Khoe-Kwadi,3,33.0,6.0,random,1
Kiowa-Tanoan,5,42.0,16.0,random,1
Kiwaian,1,19.0,0.0,random,1
Koiarian,1,16.0,0.0,random,1
Kolopom,1,44.0,0.0,random,1
Koman,5,28.0,3.0,random,1
Konda-Yahadian,1,33.0,0.0,random,1
Koreanic,2,48.0,0.0,random,1
Kresh-Aja,2,52.0,4.0,random,1
Kru,11,39.0,10.0,random,1
Kuliak,3,28.0,9.5,random,1
Kunimaipan,2,20.0,0.0,random,1
Kxa,2,130.5,10.5,random,1
Limilngan-Wulna,1,25.0,0.0,random,1
Maban,2,37.0,8.0,random,1
Maiduan,2,23.0,0.0,random,1
Mande,54,37.0,10.25,random,1
Mangarrayi-Maran,6,23.0,3.0,random,1
Maningrida,5,26.0,1.0,random,1
Marrku-Wurrugu,2,24.5,1.5,random,1
Mataguayan,5,28.0,0.0,random,1
Mayan,14,32.0,5.75,random,1
Maybratic,1,16.0,0.0,random,1
Mirndi,8,21.0,2.5,random,1
Misumalpan,1,28.0,0.0,random,1
Miwok-Costanoan,2,30.0,9.0,random,1
Mixe-Zoque,7,29.0,6.5,random,1
Mongolic-Khitan,16,36.0,8.0,random,1
Muskogean,5,21.0,8.0,random,1
Naduhup,4,34.5,2.0,random,1
Nakh-Daghestanian,17,64.0,19.0,random,1
Nambiquaran,6,29.5,14.25,random,1
Narrow Talodi,5,27.0,9.0,random,1
Ndu,3,24.0,1.0,random,1
Nilotic,31,38.0,15.5,random,1
Nimboranic,1,18.0,0.0,random,1
Nivkh,3,34.0,0.0,random,1
North Bougainville,1,11.0,0.0,random,1
North Halmahera,2,24.0,1.0,random,1
Northern Daly,2,19.0,0.0,random,1
Nubian,2,21.0,0.0,random,1
Nuclear Torricelli,6,22.0,1.5,random,1
Nuclear Trans New Guinea,31,21.0,5.0,random,1
Nuclear-Macro-Je,26,26.5,8.0,random,1
Nyimang,2,25.5,0.5,random,1
Nyulnyulan,11,20.0,5.0,random,1
Otomanguean,20,38.0,19.5,random,1
Palaihnihan,1,23.0,0.0,random,1
Pama-Nyungan,324,23.0,5.0,random,1
Pano-Tacanan,34,21.0,2.0,random,1
Peba-Yagua,3,23.0,2.5,random,1
Pidgin,1,36.0,0.0,random,1
Pomoan,3,32.0,3.5,random,1
Puri-Coroado,1,18.0,0.0,random,1
Quechuan,27,24.0,7.0,random,1
Sahaptian,2,36.0,0.0,random,1
Saharan,5,32.0,4.0,random,1
Saliban,3,30.0,0.0,random,1
Salishan,11,43.0,5.0,random,1
Senagi,1,17.0,0.0,random,1
Sentanic,2,17.0,0.0,random,1
Sepik,8,19.0,10.0,random,1
Shastan,1,21.0,0.0,random,1
Sino-Tibetan,135,45.0,17.0,random,1
Siouan,4,29.5,13.75,random,1
Sko,3,23.0,5.0,random,1
Songhay,7,40.0,6.0,random,1
South Bird's Head,1,18.0,0.0,random,1
South Bougainville,2,13.0,0.0,random,1
South Omotic,3,36.0,19.0,random,1
Southern Daly,4,28.0,0.75,random,1
Speech Register,1,32.0,0.0,random,1
Surmic,6,34.0,6.75,random,1
Ta-Ne-Omotic,12,38.0,13.5,random,1
Tai-Kadai,25,34.0,11.0,random,1
Tamaic,1,30.0,0.0,random,1
Tangkic,4,23.5,1.25,random,1
Tarascan,2,39.0,0.0,random,1
Teberan,1,23.0,0.0,random,1
Temeinic,2,36.0,11.0,random,1
Ticuna-Yuri,2,33.0,0.0,random,1
Timor-Alor-Pantar,2,34.0,6.0,random,1
Totonacan,4,30.0,8.5,random,1
Tsimshian,2,41.5,0.5,random,1
Tucanoan,23,23.0,7.5,random,1
Tungusic,7,25.0,2.0,random,1
Tupian,61,26.0,4.0,random,1
Turkic,32,39.0,7.75,random,1
Tuu,1,161.0,0.0,random,1
Unclassifiable,1,21.0,0.0,random,1
Uralic,46,34.0,11.0,random,1
Uru-Chipaya,2,42.0,9.0,random,1
Uto-Aztecan,18,26.0,12.75,random,1
Wakashan,4,51.0,8.0,random,1
Western Daly,6,27.5,7.75,random,1
Wintuan,1,35.0,0.0,random,1
Worrorran,9,25.0,1.0,random,1
Yangmanic,2,22.0,0.0,random,1
Yanomamic,11,32.0,8.5,random,1
Yareban,1,18.0,0.0,random,1
Yawa-Saweru,1,19.0,0.0,random,1
Yeniseian,2,32.0,0.0,random,1
Yukaghir,5,39.0,3.0,random,1
Yuki-Wappo,2,32.5,2.5,random,1
Zamucoan,2,33.5,3.5,random,1
Zaparoan,5,25.0,7.0,random,1
(Unknown),103,29.0,14.5,random,2
Abkhaz-Adyge,4,55.0,10.75,random,2
Afro-Asiatic,139,41.0,10.5,random,2
Ainu,2,17.0,0.0,random,2
Algic,8,28.0,9.5,random,2
Angan,1,21.0,0.0,random,2
Araucanian,3,28.0,0.0,random,2
Arawakan,58,25.0,8.0,random,2
Arawan,6,21.5,6.25,random,2
Athabaskan-Eyak-Tlingit,14,47.0,7.75,random,2
Atlantic-Congo,479,38.0,14.5,random,2
Austroasiatic,52,40.5,9.25,random,2
Austronesian,131,25.0,6.5,random,2
Aymaran,4,42.0,2.5,random,2
Baining,1,22.0,0.0,random,2
Barbacoan,9,26.0,4.0,random,2
Blue Nile Mao,1,36.0,0.0,random,2
Bookkeeping,4,32.5,15.0,random,2
Boran,4,29.5,5.5,random,2
Border,3,22.0,2.0,random,2
Bororoan,3,22.0,1.0,random,2
Bunaban,2,23.5,0.5,random,2
Caddoan,3,29.0,3.0,random,2
Cahuapanan,3,21.0,1.5,random,2
Cariban,30,23.0,5.75,random,2
Central Sudanic,25,45.0,10.0,random,2
Chapacuran,3,21.0,1.5,random,2
Chibchan,12,24.5,7.0,random,2
Chicham,6,24.0,0.75,random,2
Chimakuan,1,37.0,0.0,random,2
Chiquitano,1,26.0,0.0,random,2
Chocoan,7,31.0,1.5,random,2
Chonan,3,35.0,3.0,random,2
Chukotko-Kamchatkan,6,24.5,8.75,random,2
Chumashan,1,44.0,0.0,random,2
Cochimi-Yuman,3,34.0,2.0,random,2
Dajuic,1,30.0,0.0,random,2
Dizoid,1,30.0,0.0,random,2
Dogon,3,42.0,2.5,random,2
Dravidian,42,35.0,13.0,random,2
East Strickland,1,18.0,0.0,random,2
Eastern Daly,1,22.0,0.0,random,2
Eastern Jebel,2,49.0,0.0,random,2
Eleman,1,14.0,0.0,random,2
Eskimo-Aleut,7,36.0,5.5,random,2
Furan,1,30.0,0.0,random,2
Garrwan,4,17.0,0.75,random,2
Giimbiyu,3,23.0,0.0,random,2
Great Andamanese,2,35.0,0.0,random,2
Guahiboan,5,25.0,13.0,random,2
Guaicuruan,10,28.0,6.0,random,2
Gumuz,1,44.0,0.0,random,2
Gunwinyguan,19,27.0,3.5,random,2
Haida,2,50.0,0.0,random,2
Harakmbut,1,33.0,0.0,random,2
Heibanic,6,40.0,8.5,random,2
Hibito-Cholon,1,20.0,0.0,random,2
Hmong-Mien,4,52.5,8.25,random,2
Huavean,2,29.0,0.0,random,2
Huitotoan,5,26.0,11.0,random,2
Ijoid,6,40.0,5.5,random,2
Indo-European,192,41.5,12.25,random,2
Iroquoian,5,19.0,2.0,random,2
Iwaidjan Proper,7,23.0,2.0,random,2
Japonic,4,32.5,16.5,random,2
Jarawa-Onge,1,24.0,0.0,random,2
Jarrakan,2,22.0,2.0,random,2
Jicaquean,1,28.0,0.0,random,2
Kadugli-Krongo,11,62.0,3.0,random,2
Kakua-Nukak,3,22.0,1.0,random,2
Kartvelian,6,34.5,4.5,random,2
Kawesqar,3,19.0,0.0,random,2
Keresan,1,51.0,0.0,random,2
Khoe-Kwadi,3,33.0,6.0,random,2
Kiowa-Tanoan,5,42.0,16.0,random,2
Kiwaian,1,19.0,0.0,random,2
Koiarian,1,16.0,0.0,random,2
Kolopom,1,44.0,0.0,random,2
Koman,5,28.0,6.0,random,2
Konda-Yahadian,1,33.0,0.0,random,2
Koreanic,2,40.0,0.0,random,2
Kresh-Aja,2,52.0,4.0,random,2
Kru,11,39.0,10.0,random,2
Kuliak,3,28.0,9.5,random,2
Kunimaipan,2,20.0,0.0,random,2
Kxa,2,130.5,10.5,random,2
Limilngan-Wulna,1,25.0,0.0,random,2
Maban,2,37.0,8.0,random,2
Maiduan,2,23.0,0.0,random,2
Mande,54,38.0,13.25,random,2
Mangarrayi-Maran,6,23.0,3.0,random,2
Maningrida,5,21.0,4.0,random,2
