family_name,N,median_inventory,iqr_inventory,selection,replicate
Timor-Alor-Pantar,2,34.0,6.0,random,9
Totonacan,4,28.0,12.5,random,9
Tsimshian,2,41.5,0.5,random,9
Tucanoan,23,23.0,7.5,random,9
Tungusic,7,27.0,3.0,random,9
Tupian,61,26.0,6.0,random,9
Turkic,32,38.0,6.25,random,9
Tuu,1,161.0,0.0,random,9
Unclassifiable,1,21.0,0.0,random,9
Uralic,46,33.5,7.75,random,9
Uru-Chipaya,2,42.0,9.0,random,9
Uto-Aztecan,18,26.0,6.25,random,9
Wakashan,4,45.0,6.0,random,9
Western Daly,6,27.5,7.75,random,9
Wintuan,1,35.0,0.0,random,9
Worrorran,9,25.0,1.0,random,9
Yangmanic,2,22.0,0.0,random,9
Yanomamic,11,33.0,9.5,random,9
Yareban,1,18.0,0.0,random,9
Yawa-Saweru,1,19.0,0.0,random,9
Yeniseian,2,32.0,0.0,random,9
Yukaghir,5,32.0,4.0,random,9
Yuki-Wappo,2,32.5,2.5,random,9
Zamucoan,2,33.5,3.5,random,9
Zaparoan,5,25.0,7.0,random,9
(Unknown),103,29.0,12.0,random,10
Abkhaz-Adyge,4,62.5,1.75,random,10
Afro-Asiatic,139,41.0,10.5,random,10
Ainu,2,16.0,0.0,random,10
Algic,8,28.0,9.5,random,10
Angan,1,21.0,0.0,random,10
Araucanian,3,26.0,0.0,random,10
Arawakan,58,25.0,6.0,random,10
Arawan,6,21.5,6.25,random,10
Athabaskan-Eyak-Tlingit,14,49.5,10.0,random,10
Atlantic-Congo,479,38.0,13.0,random,10
Austroasiatic,52,40.0,10.25,random,10
Austronesian,131,25.0,8.0,random,10
Aymaran,4,42.0,2.75,random,10
Baining,1,22.0,0.0,random,10
Barbacoan,9,26.0,3.0,random,10
Blue Nile Mao,1,36.0,0.0,random,10
Bookkeeping,4,32.5,15.0,random,10
Boran,4,29.5,5.5,random,10
Border,3,22.0,2.0,random,10
Bororoan,3,22.0,1.0,random,10
Bunaban,2,23.5,0.5,random,10
Caddoan,3,29.0,3.0,random,10
Cahuapanan,3,21.0,1.5,random,10
Cariban,30,23.0,4.75,random,10
Central Sudanic,25,45.0,11.0,random,10
Chapacuran,3,20.0,1.0,random,10
Chibchan,12,24.5,7.0,random,10
Chicham,6,21.0,1.5,random,10
Chimakuan,1,37.0,0.0,random,10
Chiquitano,1,26.0,0.0,random,10
Chocoan,7,31.0,1.5,random,10
Chonan,3,31.0,1.0,random,10
Chukotko-Kamchatkan,6,24.5,8.75,random,10
Chumashan,1,40.0,0.0,random,10
Cochimi-Yuman,3,34.0,2.0,random,10
Dajuic,1,30.0,0.0,random,10
Dizoid,1,30.0,0.0,random,10
Dogon,3,42.0,2.5,random,10
Dravidian,42,38.0,10.75,random,10
East Strickland,1,18.0,0.0,random,10
Eastern Daly,1,22.0,0.0,random,10
Eastern Jebel,2,49.0,0.0,random,10
Eleman,1,14.0,0.0,random,10
Eskimo-Aleut,7,27.0,10.0,random,10
Furan,1,30.0,0.0,random,10
Garrwan,4,17.0,0.75,random,10
Giimbiyu,3,23.0,0.0,random,10
Great Andamanese,2,35.0,0.0,random,10
Guahiboan,5,25.0,13.0,random,10
Guaicuruan,10,28.0,7.0,random,10
Gumuz,1,44.0,0.0,random,10
Gunwinyguan,19,27.0,3.5,random,10
Haida,2,49.0,0.0,random,10
Harakmbut,1,33.0,0.0,random,10
Heibanic,6,40.0,8.5,random,10
Hibito-Cholon,1,20.0,0.0,random,10
Hmong-Mien,4,52.5,8.25,random,10
Huavean,2,24.0,0.0,random,10
Huitotoan,5,26.0,14.0,random,10
Ijoid,6,40.0,5.5,random,10
Indo-European,192,41.0,12.0,random,10
Iroquoian,5,19.0,2.0,random,10
Iwaidjan Proper,7,23.0,2.0,random,10
Japonic,4,21.0,1.5,random,10
Jarawa-Onge,1,24.0,0.0,random,10
Jarrakan,2,22.0,2.0,random,10
Jicaquean,1,28.0,0.0,random,10
Kadugli-Krongo,11,61.0,2.5,random,10
Kakua-Nukak,3,22.0,1.0,random,10
Kartvelian,6,35.0,0.0,random,10
Kawesqar,3,19.0,0.0,random,10
Keresan,1,51.0,0.0,random,10
Khoe-Kwadi,3,33.0,6.0,random,10
Kiowa-Tanoan,5,42.0,16.0,random,10
Kiwaian,1,19.0,0.0,random,10
Koiarian,1,16.0,0.0,random,10
Kolopom,1,44.0,0.0,random,10
Koman,5,28.0,6.0,random,10
Konda-Yahadian,1,33.0,0.0,random,10
Koreanic,2,32.0,0.0,random,10
Kresh-Aja,2,52.0,4.0,random,10
Kru,11,39.0,10.0,random,10
Kuliak,3,28.0,9.5,random,10
Kunimaipan,2,20.0,0.0,random,10
Kxa,2,130.5,10.5,random,10
Limilngan-Wulna,1,25.0,0.0,random,10
Maban,2,37.0,8.0,random,10
Maiduan,2,23.0,0.0,random,10
Mande,54,39.0,9.5,random,10
Mangarrayi-Maran,6,24.0,3.0,random,10
Maningrida,5,21.0,4.0,random,10
Marrku-Wurrugu,2,24.5,1.5,random,10
Mataguayan,5,28.0,0.0,random,10
Mayan,14,30.0,6.0,random,10
Maybratic,1,16.0,0.0,random,10
Mirndi,8,21.0,2.5,random,10
Misumalpan,1,28.0,0.0,random,10
Miwok-Costanoan,2,30.0,9.0,random,10
Mixe-Zoque,7,25.0,5.0,random,10
Mongolic-Khitan,16,36.0,10.25,random,10
Muskogean,5,21.0,8.0,random,10
Naduhup,4,34.5,3.25,random,10
Nakh-Daghestanian,17,64.0,13.0,random,10
Nambiquaran,6,29.5,12.75,random,10
Narrow Talodi,5,27.0,9.0,random,10
Ndu,3,24.0,1.0,random,10
Nilotic,31,38.0,15.5,random,10
Nimboranic,1,18.0,0.0,random,10
Nivkh,3,34.0,0.0,random,10
North Bougainville,1,11.0,0.0,random,10
North Halmahera,2,24.0,1.0,random,10
Northern Daly,2,19.0,0.0,random,10
Nubian,2,45.0,0.0,random,10
Nuclear Torricelli,6,22.0,1.5,random,10
Nuclear Trans New Guinea,31,21.0,5.0,random,10
Nuclear-Macro-Je,26,27.0,8.0,random,10
Nyimang,2,25.5,0.5,random,10
Nyulnyulan,11,20.0,4.0,random,10
Otomanguean,20,38.0,19.5,random,10
Palaihnihan,1,23.0,0.0,random,10
Pama-Nyungan,324,23.0,5.0,random,10
Pano-Tacanan,34,21.0,2.0,random,10
Peba-Yagua,3,23.0,2.5,random,10
Pidgin,1,36.0,0.0,random,10
Pomoan,3,38.0,0.5,random,10
Puri-Coroado,1,18.0,0.0,random,10
Quechuan,27,25.0,5.5,random,10
Sahaptian,2,30.0,0.0,random,10
Saharan,5,32.0,4.0,random,10
Saliban,3,32.0,1.0,random,10
Salishan,11,43.0,5.0,random,10
Senagi,1,17.0,0.0,random,10
Sentanic,2,17.0,0.0,random,10
Sepik,8,19.0,10.0,random,10
Shastan,1,21.0,0.0,random,10
Sino-Tibetan,135,46.0,19.0,random,10
Siouan,4,29.5,13.75,random,10
Sko,3,23.0,5.0,random,10
Songhay,7,48.0,10.0,random,10
South Bird's Head,1,18.0,0.0,random,10
South Bougainville,2,13.0,0.0,random,10
South Omotic,3,36.0,19.0,random,10
Southern Daly,4,24.0,2.75,random,10
Speech Register,1,32.0,0.0,random,10
Surmic,6,34.0,6.75,random,10
Ta-Ne-Omotic,12,38.0,18.0,random,10
Tai-Kadai,25,35.0,11.0,random,10
Tamaic,1,30.0,0.0,random,10
Tangkic,4,24.0,0.25,random,10
Tarascan,2,32.0,0.0,random,10
Teberan,1,23.0,0.0,random,10
Temeinic,2,36.0,11.0,random,10
Ticuna-Yuri,2,33.0,0.0,random,10
Timor-Alor-Pantar,2,34.0,6.0,random,10
Totonacan,4,28.0,12.5,random,10
Tsimshian,2,41.5,0.5,random,10
Tucanoan,23,23.0,6.0,random,10
Tungusic,7,27.0,3.0,random,10
Tupian,61,26.0,4.0,random,10
Turkic,32,37.0,7.0,random,10
Tuu,1,161.0,0.0,random,10
Unclassifiable,1,21.0,0.0,random,10
Uralic,46,36.0,9.75,random,10
Uru-Chipaya,2,42.0,9.0,random,10
Uto-Aztecan,18,28.5,9.0,random,10
Wakashan,4,48.5,13.0,random,10
Western Daly,6,27.5,7.75,random,10
Wintuan,1,35.0,0.0,random,10
Worrorran,9,25.0,1.0,random,10
Yangmanic,2,22.0,0.0,random,10
Yanomamic,11,24.0,12.5,random,10
Yareban,1,18.0,0.0,random,10
Yawa-Saweru,1,19.0,0.0,random,10
Yeniseian,2,32.0,0.0,random,10
Yukaghir,5,39.0,3.0,random,10
Yuki-Wappo,2,32.5,2.5,random,10
Zamucoan,2,33.5,3.5,random,10
Zaparoan,5,19.0,4.0,random,10
